SlNo,Institute
6329,Chegireddy Linga Reddy Institute Of Management
6330,Anjan Narasimha Munaga Kancharla Thummapudi Institute Of Technology And Management
6331,Sun Institute Of Pharmaceutical Education And Research
6333,Gauthami Pg College
6334,Government Plytechnic
6335,CLR Institute Of Computer Applications
,St. Xavier'S PG College
6336,St. Xavier'S P.G. College
6338,Indur P.G.College Of Business Management
6339,Syed Hashim College Of Science & Technology
6340,Anwar Ul Uloom College Of Engineering & Techology
6341,Vivekananda Institute Of Information Technology
6342,Lokmanya Tilak College Of Business Management
6343,Govt Institute Of Textile Technology
6344,Padala Rama Reddi College Of Commerce And Management
6345,Dr.AER College of Management Studies and Research
6346,Dr.A.E.R.College Of Management Studies & Research
,MLR Institute of Technology
6347,S.S. Institute Of Technology
6348,SS Institute Of Technology
6349,S.S.Institute Of Technology
6350,Sanjay Gandhi Government Polytechnic
6351,S.V. Institute Of Engineering & Technology
6352,SV Institute Of Engineering & Technology
6353,S.V.Institute Of Engineering & Technology
6354,Kottam College Of Engineering
,Sir CV Raman Institute Of Technology & Sciences
6355,Sir C V Raman Institute Of Technology & Sciences
,Sir C.V.Raman Institute Of Technology & Sciences
,Yalamarty Pharmacy College
,Govt Polytechnic Madhira
6356,Governament Polytechnic
6357,Moonray Institute Of Pharmaceutical Sciences
,The Principal Government
,Browns College Of Pharmacy
6358,St. John's Institute of Science And Technology
6359,St.John'S Institute Of Science And Tecnoligy
,DRK Institute Of Science And Technology
,Royal Postgraduate Centre
6360,M.B.T.S. Government Polytechnic
6361,Sanskrithi School Of Business
6364,Pamidi Institute Of Science And Technologies
6365,Mother Theresa Institute Of Management
6366,Government Domestic Science Training College
6367,Tellakula Jps College
6368,Teja College Of Pharmacy
,J J Institute Of Information Technology
6369,Chaitanya College Of Pharmacy
6370,Sri Geervani Institute Of Management
6372,CVM College Of Pharmacy
6373,Rahul Institute Of Pharmaceutical Sciences & Research
6375,Donbosco P.G College
6376,Kodada Institute Of Informatics
6377,PRR Institute Of Managment Sciences
6379,Hindu College Techno Campus
6380,SV College Of Engineering & Technology
6381,Sri Venkateswara College of Engineering
6382,S.V. College Of Engineering & Technology
6383,S.V.College Of Engineering & Technology
6385,Sri Balaji PG College
6386,Rajiv Gandhi Recs Polytechnic
6387,Institute Of Management Studies P.G. Centre
6388,PRRM College Of Pharmacy
6390,SDGS College Pg Dept Of Business Mgt Studies
6391,Kingston P.G.College
6392,Unity College Of Pharmacy
,Pydah College
,University College Of Pharmaceutical Sciences
,Aizza College Of Engineering And Technology
6393,Institute Of Pharmaceutical Technology
6395,Vathsalya Institute Of Science & Technology
6396,Vaagdevi Degree & Pg College
6397,Royal School Of Information & Management Sciences
6398,ASN Degree College
6399,A.S.N. Degree College
6400,A.S.N.Degree College
6402,Mantra School Of Business Management
6403,Gurukul Group Of Institutions
6404,Pujya Shri Madhavanji College Of Engineering & Technology
6405,Balaji Institute Of It And Management
6406,AKRG College of Engineering & Technology
6407,A K R G College
6408,Government Girls Vocational Institute
6409,Sahasra Institute Of Pharmaceutical Sciences
,Teegala Krishna Reddy Engineering College
,St. Mary'S Group Of Institutions Hyderabad
6411,Government Model Residential Polytechnic
6412,Narayana Institute Of Management
6413,Deccan Group Of Institutions
6414,New India College Of Engineering & Technology
6416,SSR Engineering College
,DRK College Of Engineering & Technology
6417,Pragathi School Of Business
6418,St. Mary'S Engineering College
6419,RKLK PG College
6420,Joseph Sriharsha & Mary Indraja Educational Society'S Group Of Institutions
6421,Shri Sai Institute Of Engineering And Technology
6422,Saastra College Of Computer Science
6423,Basavaraju Krishna Bai Educational Society Group Of Institutions
6424,Basavaraju Krishna Bai (Laxmi) Educational Society Group Of Institutions
6425,Montessori Siva Sivani Institute Of Science And Technology- College Of Pharmacy
6426,Fathima Institute Of Pharmacy
6427,Rahul Subramanyam Memorial Institute Of Management Studies
6428,Amina Institute Of Technology
6429,Padala Rama Reddi College Of Computer Sciences
6430,Rahul Pg College Of Computer Sciences
6431,Anniebesant Post Graduate College
6432,C M School Of Business Management
6433,Sri Sivani College Of Pharmacy
,Mothere Theresa Institute Of Computer Applications
6434,Malineni Lakshmaiah Institute Of Engineering And Technology
6435,Quli Qutub Shah Government Polytechnic
6437,Thushara Pg School Of Information Science & Technology
6438,Sri Vatsavai Krishnam Raju College Of Engineering&Technology
6439,Gokul P G College
6440,Quli Qutubsha Government
6441,Brilliant Grammar School Educational Society'S Group Of Institutions
6443,Einstein P.G. College
6444,Einstein PG College
6446,Einstein P.G College
6447,Yalamarty Institute Of Computer Sciences
6448,Vaageswari Institute Of Computer Sciences
6450,Life Institute Of Engineering & Technology
6451,Chilkur Balaji College Of Pharmacy
6452,Sri Gaayathri College Of Management Sciences
6453,Laqshya College Of Computer Studies
6455,Sri Sivani Institute Of Technology
6456,Gayathri Polytechnic College
,KKC Institute Of Technology & Engineering
,Gayatri Institute Of Engineering & Technology
6457,Anasuyadevi Institute Of Technology And Sciences
6458,Sree College Of Pharmacy
6459,Sasikanth Reddy College Of Pharmacy
6460,Sri Srinivasa Institute Of Management
6461,Priyadarshini Institute Of Technology & Science For Women
6462,Haindavi Pg College
6463,Sankar Information And Management Science
6465,Best Group Of Institutions
6467,Brundavan Group Of Institutions
6468,Azad College Of Pharmacy
6469,Indian Institute Of Tourism And Travel Management
6470,Jagan'S Institute Of Management Studies
6471,VJ'S College Of Pharmacy
6472,Dr. VRK College Of Engineering & Technology
6473,Ch.S.D.St.Theresa'S College For Women
6474,Shahjehan College Of Engineering & Technology
6475,St.John College Of Pharmacy
6476,Government Polytechnic Nandipet
6477,Government Polytechnic Nizamabad
6478,Kalyani MCA College
6480,Gurindapalli Devanandam Mary Memorial College Of Engineering & Technology For Women
6482,Shree Vivekananda Institute Of Science
6483,Medha Institute Of Science & Technology For Women
6484,Arkay College Of Engineering & Technology
6486,K L College Of Engineering
6487,Koneru Lakshmaiah Education Foundation University
6488,Govenment Polytechnic
6489,Adarsa College Of Pharmacy
6490,Synergy School Of Business
6491,A1 Global Institute Of Engineering & Technology
6492,Global Institute Of Business Management
6493,Aradhana School Of Business Management
6494,Chaitanya Institute Of Business Management
6495,Vishwa Bharathi College Of Pharmaceutical Sciences
6496,Global Institute Of Technology And Management Sciences
,PVKK Institute Of Technology
6499,P.V.K.K Institute Of Technology
6500,P.V.K.K. Institute Of Technology
6501,Institute Of Business Management
6502,Panineeya Institute Of Technology & Science
6503,Dr. Y. C. James Yen Rural Polytechnic
6504,Raja Bahadur Venkata Rama Reddy Institute Of Technology
6505,Mother Theresa Institute Of Engineering And Technology
6506,Shantiniketan Women's College
6507,Shantinikethan P.G College
6509,Shantinikethan PG College
,Shantinikethan P.G. College
,Rosory College Of Pharmacy
6510,Sri Sai Madhavi Institute of Science & Technology
6511,Suprabhath Institute for Management and Computer Studies
6512,Maheshwara Institute Of Pharmacy
6513,Andhra Bharathi Institute Of Computer Sciences
6514,DJR Institute Of Engineering & Djr Institute Engineering Technology
6515,St. Mary'S Women'S Engineering College
,Suprabhath Inst. For Mngt. & Comp. Studies
,Andhra Yuvathi Mandali School Of Business
,KVCM NRI Polytechnic College
6516,K.V.C.M NRI Polytechnic College
6517,K.V.C.M Nri Politechnic
6518,DJR College Of Engineering & Technology
6519,Kamalajayarao College Of Pharmacy
6520,NRK & KSR Gupta College Of Pharmacy
6521,N.R.K & K.S.R Gupta College Of Pharmacy
6522,Shadan Women'S College Of Pharmacy
6523,Pujya Shri Madhavanji Institute Of Science & Technology
6524,Siddhartha Institute Of Computer Sciences
6525,Adusumilli Vijaya College Of Engineering And Research Centre
,A.M.R.Institute Of Technology
,AMR Institute of Technology
6526,J J College Of Pharmaceytical Science
6527,Olive Pg College
6528,HMKS & MGS college of Engineering
,H.M.K.S & M.G.S College Of Engineering
6529,Anurag Pharmacy College
6530,Vishwaveda Institute Of Technolgy
6531,Avinash Institute Of Management
6532,Government Institute Of Ceramic Technology
6533,Dr. Dharmambal Govt. Polytechnic College for Women
6534,Shadan College Of Pharmacy
,Nobel College Of Pharmacy
6535,Chaitanya Institute Of Computer Sciences
6536,Dhanvanthari Institute Of Management Sciences
,Vathsalya College Of Pharmacy
6537,Vasavi Mca&Mba College
6538,Chilkur Balaji College Of Computer Sciences
6539,Vivekananda PG College
6540,Vivekananda Institute Of Engineering & Technology
6541,Guru Nanak Business School
6542,Madhira Educational Society Group Of Institutions
6543,Kasturba Gandhi College
6544,Brilliant Pg College
6545,Malla Reddy Institute Of Management And Technology
6546,Aurora'S Post Graduate College
6549,Suprabhath Pg College
6550,Sri Sangameshwara Governament Polytechnic
6551,Vikas College Of B.Pharmacy
6552,Bapuji Institute Of Science And Technology
6553,Government Polytechnic Sanga Reddy
6554,Pratibha Institute Of Pharmaceutical Sciences
6555,VCR Institute Of Computer Sciences
6556,Maryum Institute Of Computer Science
6557,KLR Pharamcy College
6558,Guru Raghavendra Institute Of Pharmaceutical Sciences
6559,Kasturba Gandhii College For Women
6560,Govt.Polytechnic
6561,VSR Institute Of Computer Education
6562,V.S.R Institute Of Computer Education
6563,Nalanda Mca College
6564,Azad College Of Engineering
6565,Suprabhath Institute For Management And Computer Studies
6566,Harinadha Reddy Istitute Of Management Sciences
6567,Nalanda Institute Of Engineering & Technology
6568,CSR Business School
6570,Azad College Of Computers
6572,Vennela Institute Of Business Administration
6573,Malineni Lakshmaiah Mba College
,Sree Venkateswara College Of Engineering
6574,Simhadhri Educational Society Group Of Institutions
6576,Mohmmedens College Of Diploma In Engineering And Technology
6577,Sai Sudhir Pg College
6578,Sai Sudhir Degree And PG College
6579,Sai-Sudhir Institute Of Engineering & Technology
6580,Tayyib Muslim Polytechnic
6581,S.N.B.T.M.P.G.Centre
6582,Institute Of Computers And Business Management
6583,Nova PG College
6584,Bhagath College Of Diploma In Engineering And Technology
6585,Andhra University College Of Engineering
6586,Guru Nanak Institutions Technical Campus
6587,Andhra University College of Pharmaceutical Sciences
6588,A.U.College Of Pharmaceutical Sciences
,Vignana Jyothi Institute Of Management
6589,Harvard College Of Science And Technology
6590,SVR Institute Of Technology & Management
6591,Sahaya College Of Management And Technology
6592,RKLK D-Pharmacy College
6593,Patlolla Ramakrishna Reddy College Of Pharmacy
6594,Shantha Institute Of Pharmaceutical Sciences
6595,JNTUH College Of Engineering
6597,School Of Information Technology
,Bharat Institute Of Engineering And Technology
6598,Bharathi Institute Of Business Management
6599,Governament Polytechnic Kotgir
6600,Ratnam Institute Of Computer Sciences And Management
6601,DNR School Of Business Management
6602,Shantha Institute Of Pg College
6603,Harvard College Of Pharmacy
6604,KVK College Of Pharmacy
6605,Jaya Institute Of Business Management
6606,Lalitha Degree And P.G College
6607,Lalitha College Of Pharmacy
6608,Manpower Development College
6609,S.N.B .T.M College Of Engineering & Technology
6610,Khader Memorial College Of Engineering & Technology
6612,Gonna Institute Of Technology And Management Studies
6613,Residency College
6614,Thandra Paparaya Institute Of Science And Technology
6615,New Netaji Institute Of Technology
6616,Sant Samarth Institute Of Management
6617,Haindavi Pg College
6618,St. Stephen College Of Pharmacy
6619,Sri Venkateswara Polytechnic
6620,KLR College Of Business Management
6622,Aristotle Pg College
6623,Kothamasu Chandrakala & Bellamkonda Venkateswara College Of Pharmacy
6624,Bharat School Of Management
6625,Jawahar Bharathi College
6626,CVSR College Of Engineering
6627,Intel Instittute Of Science
6628,Bomma Institute Of Pharmacy
6629,Coastal Institute Of Technology And Management
6630,Hi-Point College Of Engineering And Technology
6631,G S R Group Of Institutions
6632,Geethanjali Institute Of Pg Studies
6633,Apoorva Institute Of Management And Sciences
6634,Bhaskara Institute Of Mca
6635,CSI Rayalaseema Diocese Institute Of Management & Technology
6636,Sankar Reddy Institute Of Pharmaceutical Sciences
6637,Aditya Group Of Institutions
6638,Sri Shivani Institute Of Management
6639,Lokmanya Tilak College Of Information Technology
6640,KLR Institute Of Mgt. & It.
6641,Maharshi Institute Of Pharmaceutical Sciences
6642,Pannala Ram Reddy College Of Bussiness Management
6643,Sujana College Of Pharmacy
6644,Prabhala Pg College
6645,M V R College Of Engineering
6646,Nava Bharathi College Of P.G. Studies
6647,Aware Madhavanji International Institute Of Management
6648,KLR College Of Information Tech & Management
6649,Infinity Business School
6650,School Of Pharmaceutical Sciences And Technologies
6651,Adusumilli Vijaya Institute Of Technology And Research Centre
6652,BVR Institute Of Engg & Technology
6653,Sri Pragathi Institute Of Science And Technology
